Ticker	EntryTime	ExitTime	EntryPrice	ExitPrice	Duration	Size	EntryBar	ExitBar	ReturnPct	PnL	caso	Tag
AMD	2023-12-06 15:30:00+00:00	2023-12-20 20:30:00+00:00	119.81500244140624	135.7449951171875	14 days 05:00:00	-89.0	725.0	800.0	-0.1329549084103352	-1417.7693481445326	11	short
AMD	2024-01-11 16:30:00+00:00	2024-01-25 14:30:00+00:00	144.5709991455078	182.0	13 days 22:00:00	64.0	894.0	955.0	0.2588970199813079	2395.4560546875	12	long
AMD	2024-02-13 19:30:00+00:00	2024-02-14 20:30:00+00:00	170.22999572753906	177.8000030517578	1 days 01:00:00	68.0	1051.0	1059.0	0.04446929163021829	514.760498046875	13	long
AMD	2024-02-22 18:30:00+00:00	2024-02-28 14:30:00+00:00	181.72999572753903	176.25	5 days 20:00:00	-67.0	1092.0	1116.0	0.030154602192116853	367.15971374511525	14	short
AMD	2024-05-06 13:30:00+00:00	2024-05-13 19:30:00+00:00	152.94200134277344	151.55149841308594	7 days 01:00:00	-82.0	1445.0	1481.0	0.003251554118357536	40.778533935546875	15	short
AMD	2024-05-13 14:30:00+00:00	2024-05-13 19:30:00+00:00	152.4447021484375	151.55149841308594	0 days 05:00:00	-83.0	1481.0	1486.0	0.00585919827165815	74.13591003417969	16	short
AMD	2024-06-05 14:30:00+00:00	2024-06-11 18:30:00+00:00	165.99000549316406	159.00999450683594	6 days 04:00:00	-76.0	1593.0	1625.0	0.042050790742431676	530.4808349609375	17	short
AMD	2024-06-12 14:30:00+00:00	2024-06-18 16:30:00+00:00	161.3699951171875	154.35000610351562	6 days 02:00:00	-82.0	1628.0	1658.0	0.043502442994894586	575.6390991210938	18	short
AMD	2024-06-20 14:30:00+00:00	2024-07-01 13:30:00+00:00	163.58999633789062	161.2899932861328	5 days 05:00:00	-84.0	1663.0	1689.0	0.023840051248788074	327.5994873046875	19	short
AMD	2024-06-25 19:30:00+00:00	2024-07-01 13:30:00+00:00	159.69000244140625	161.2899932861328	5 days 18:00:00	-88.0	1689.0	1711.0	-0.010019355127216745	-140.7991943359375	20	short
AMD	2024-08-30 19:30:00+00:00	2024-09-06 15:30:00+00:00	147.58999633789062	132.91000366210938	6 days 20:00:00	-95.0	2014.0	2038.0	0.09946468622556959	1394.5993041992188	21	short
AMD	2024-11-08 14:30:00+00:00	2024-11-15 18:30:00+00:00	149.19500732421875	135.4199981689453	7 days 04:00:00	-103.0	2351.0	2390.0	0.09232888822706165	1418.825942993164	22	short
AMD	2024-11-18 17:30:00+00:00	2024-11-21 14:30:00+00:00	139.67999267578125	138.69000244140625	2 days 21:00:00	-120.0	2396.0	2414.0	0.007087559323352144	118.798828125	23	short
AMD	2024-11-21 17:30:00+00:00	2024-11-27 15:30:00+00:00	137.5	134.33509826660156	5 days 22:00:00	-123.0	2417.0	2443.0	0.023017467151988602	389.2829132080078	24	short
AMD	2025-01-23 14:30:00+00:00	2025-01-30 19:30:00+00:00	121.4250030517578	118.62999725341795	6 days 02:00:00	142.0	2686.0	2716.0	-0.04358986989848446	-751.591812133787	25	long
AMD	2025-01-29 16:30:00+00:00	2025-02-05 14:30:00+00:00	116.1321029663086	107.68499755859376	1 days 03:00:00	-142.0	2716.0	2726.0	-0.02150907650259315	-354.7009887695292	26	short
AMD	2025-02-20 15:30:00+00:00	2025-03-04 19:30:00+00:00	114.19000244140624	101.5500030517578	12 days 04:00:00	142.0	2820.0	2880.0	-0.11069269742886934	-1794.8799133300781	27	long
AMD	2025-04-23 13:30:00+00:00	2025-05-07 18:30:00+00:00	91.875	97.66999816894533	14 days 05:00:00	-157.0	3120.0	3195.0	-0.06307481000212611	-909.8147125244163	28	short
AMD	2025-06-05 18:30:00+00:00	2025-06-10 15:30:00+00:00	116.6999969482422	121.87999725341795	4 days 21:00:00	116.0	3335.0	3353.0	0.0443873216849624	600.8800354003873	29	long
AMD	2025-06-11 17:30:00+00:00	2025-06-27 13:30:00+00:00	121.87999725341795	144.16000366210938	15 days 20:00:00	116.0	3362.0	3435.0	0.18280281351144034	2584.480743408205	30	long
AMD	2025-07-08 10:00:00+00:00		136.43								31	short
AMZN	2023-07-27 14:30:00+00:00	2023-08-02 15:30:00+00:00	131.439697265625	128.5449981689453	6 days 01:00:00						1	short
